Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Fourth Coffee,319,49.2%,12.0,2.9,15.6%,2026-02-22 00:00:00
Fourth Coffee,321,61.6%,13.2,3.2,14.3%,2026-03-01 00:00:00
Proseware Inc,212,59.6%,7.8,2.5,,2025-03-30 00:00:00
Proseware Inc,212,60.7%,7.5,2.9,,2025-04-06 00:00:00
Proseware Inc,213,75.9%,12.9,2.7,,2025-04-13 00:00:00
Proseware Inc,214,78.5%,10.8,3.3,,2025-04-20 00:00:00
Proseware Inc,215,66.5%,14.6,2.2,,2025-04-27 00:00:00
Proseware Inc,216,62.3%,17.7,2.8,,2025-05-04 00:00:00
Proseware Inc,217,69.3%,14.8,2.9,,2025-05-11 00:00:00
Proseware Inc,217,71.1%,17.2,3.0,,2025-05-18 00:00:00
Proseware Inc,218,78.4%,16.7,2.3,,2025-05-25 00:00:00
Proseware Inc,219,64.2%,12.0,3.1,,2025-06-01 00:00:00
Proseware Inc,220,67.4%,15.9,3.3,,2025-06-08 00:00:00
Proseware Inc,221,70.4%,15.2,2.2,17.5%,2025-06-15 00:00:00
Proseware Inc,222,77.9%,15.5,3.1,12.9%,2025-06-22 00:00:00
Proseware Inc,222,85.1%,15.3,2.9,10.4%,2025-06-29 00:00:00
Proseware Inc,223,69.1%,13.9,2.5,10.8%,2025-07-06 00:00:00
Proseware Inc,224,70.5%,15.7,3.0,17.2%,2025-07-13 00:00:00
Proseware Inc,225,74.9%,15.0,2.7,16.7%,2025-07-20 00:00:00
Proseware Inc,226,74.1%,17.6,3.1,14.2%,2025-07-27 00:00:00
Proseware Inc,227,71.5%,13.9,3.3,16.7%,2025-08-03 00:00:00
Proseware Inc,227,75.1%,16.1,2.3,14.3%,2025-08-10 00:00:00
Proseware Inc,228,87.3%,17.1,2.5,12.8%,2025-08-17 00:00:00
Proseware Inc,229,69.5%,16.6,3.4,11.3%,2025-08-24 00:00:00
Proseware Inc,230,73.8%,15.3,2.5,9.0%,2025-08-31 00:00:00
Proseware Inc,231,57.0%,13.0,2.6,14.0%,2025-09-07 00:00:00
Proseware Inc,232,81.3%,12.2,2.2,15.7%,2025-09-14 00:00:00
Proseware Inc,232,75.9%,15.1,3.2,9.9%,2025-09-21 00:00:00
Proseware Inc,233,80.2%,16.6,3.3,8.5%,2025-09-28 00:00:00
Proseware Inc,234,65.4%,17.6,2.4,17.2%,2025-10-05 00:00:00
Proseware Inc,235,69.9%,16.8,2.5,8.3%,2025-10-12 00:00:00
Proseware Inc,236,76.8%,17.6,3.3,16.8%,2025-10-19 00:00:00
Proseware Inc,237,60.1%,17.5,3.0,12.9%,2025-10-26 00:00:00
Proseware Inc,237,76.8%,17.6,2.7,18.0%,2025-11-02 00:00:00
Proseware Inc,238,77.4%,15.4,3.3,15.5%,2025-11-09 00:00:00
Proseware Inc,239,84.3%,14.8,2.9,9.9%,2025-11-16 00:00:00
Proseware Inc,240,81.3%,14.9,2.3,16.3%,2025-11-23 00:00:00
Proseware Inc,241,69.4%,13.6,3.2,16.9%,2025-11-30 00:00:00
Proseware Inc,242,86.0%,13.2,3.2,10.9%,2025-12-07 00:00:00
Proseware Inc,242,60.6%,12.5,2.6,9.7%,2025-12-14 00:00:00
Proseware Inc,243,66.5%,13.3,2.3,15.5%,2025-12-21 00:00:00
Proseware Inc,244,72.4%,16.9,2.4,16.9%,2025-12-28 00:00:00
Proseware Inc,245,83.6%,15.7,2.2,10.4%,2026-01-04 00:00:00
Proseware Inc,246,65.7%,14.6,3.0,17.2%,2026-01-11 00:00:00
Proseware Inc,247,61.3%,14.4,3.1,17.0%,2026-01-18 00:00:00
Proseware Inc,247,80.5%,13.4,2.5,13.0%,2026-01-25 00:00:00
Proseware Inc,248,77.6%,20.6,3.2,17.2%,2026-02-01 00:00:00
Proseware Inc,249,78.6%,20.1,2.9,15.7%,2026-02-08 00:00:00
Proseware Inc,250,54.7%,14.1,2.6,17.2%,2026-02-15 00:00:00
Proseware Inc,251,50.2%,13.3,2.2,14.0%,2026-02-22 00:00:00
Proseware Inc,252,47.5%,11.9,2.8,14.7%,2026-03-01 00:00:00
Litware Inc - Engineering,63,60.4%,8.2,2.9,,2025-03-30 00:00:00
Litware Inc - Engineering,63,53.4%,8.4,2.3,,2025-04-06 00:00:00
Litware Inc - Engineering,63,82.8%,12.9,3.3,,2025-04-13 00:00:00
Litware Inc - Engineering,64,62.3%,12.1,2.6,,2025-04-20 00:00:00
Litware Inc - Engineering,64,57.3%,13.2,2.4,,2025-04-27 00:00:00
Litware Inc - Engineering,64,68.6%,17.8,2.4,,2025-05-04 00:00:00
Litware Inc - Engineering,65,68.2%,15.8,2.6,,2025-05-11 00:00:00
Litware Inc - Engineering,65,68.0%,14.3,2.8,,2025-05-18 00:00:00
Litware Inc - Engineering,65,84.5%,15.7,2.9,,2025-05-25 00:00:00
Litware Inc - Engineering,66,69.0%,15.7,2.5,,2025-06-01 00:00:00
Litware Inc - Engineering,66,65.3%,15.8,2.8,,2025-06-08 00:00:00
Litware Inc - Engineering,66,81.8%,16.1,3.0,13.0%,2025-06-15 00:00:00
Litware Inc - Engineering,67,83.3%,14.0,3.2,17.7%,2025-06-22 00:00:00
Litware Inc - Engineering,67,71.4%,15.6,2.6,13.3%,2025-06-29 00:00:00
Litware Inc - Engineering,67,82.9%,15.0,2.9,16.8%,2025-07-06 00:00:00
Litware Inc - Engineering,68,69.5%,16.4,3.0,16.0%,2025-07-13 00:00:00
Litware Inc - Engineering,68,68.3%,13.9,2.4,14.0%,2025-07-20 00:00:00
Litware Inc - Engineering,69,57.2%,13.5,3.2,14.8%,2025-07-27 00:00:00
Litware Inc - Engineering,69,73.1%,15.1,2.7,10.8%,2025-08-03 00:00:00
Litware Inc - Engineering,69,66.5%,16.3,2.3,13.9%,2025-08-10 00:00:00
Litware Inc - Engineering,70,67.1%,12.1,3.2,8.5%,2025-08-17 00:00:00
Litware Inc - Engineering,70,69.0%,17.1,3.0,11.7%,2025-08-24 00:00:00
Litware Inc - Engineering,70,64.8%,15.5,3.3,13.1%,2025-08-31 00:00:00
Litware Inc - Engineering,71,77.3%,13.0,3.1,14.6%,2025-09-07 00:00:00
Litware Inc - Engineering,71,75.4%,17.4,2.3,16.1%,2025-09-14 00:00:00
Litware Inc - Engineering,71,81.1%,16.7,2.2,16.3%,2025-09-21 00:00:00
Litware Inc - Engineering,72,81.9%,12.5,3.0,17.3%,2025-09-28 00:00:00
Litware Inc - Engineering,72,73.4%,16.3,3.4,9.7%,2025-10-05 00:00:00
Litware Inc - Engineering,72,78.7%,15.5,2.5,12.0%,2025-10-12 00:00:00
Litware Inc - Engineering,73,72.1%,15.7,2.9,10.5%,2025-10-19 00:00:00
Litware Inc - Engineering,73,74.2%,17.9,2.7,15.6%,2025-10-26 00:00:00
Litware Inc - Engineering,73,76.5%,12.3,2.8,16.3%,2025-11-02 00:00:00
Litware Inc - Engineering,74,61.5%,14.4,2.9,14.8%,2025-11-09 00:00:00
Litware Inc - Engineering,74,67.5%,13.6,3.0,17.5%,2025-11-16 00:00:00
Litware Inc - Engineering,75,65.5%,14.0,3.1,10.4%,2025-11-23 00:00:00
Litware Inc - Engineering,75,73.3%,16.6,2.6,13.9%,2025-11-30 00:00:00
Litware Inc - Engineering,75,82.9%,14.7,3.3,12.5%,2025-12-07 00:00:00
Litware Inc - Engineering,76,85.4%,14.5,3.4,17.3%,2025-12-14 00:00:00
Litware Inc - Engineering,76,77.8%,13.8,2.3,10.6%,2025-12-21 00:00:00
Litware Inc - Engineering,76,79.1%,12.7,2.6,17.0%,2025-12-28 00:00:00
Litware Inc - Engineering,77,82.2%,15.6,3.2,8.4%,2026-01-04 00:00:00
Litware Inc - Engineering,77,69.9%,15.9,3.0,12.9%,2026-01-11 00:00:00
Litware Inc - Engineering,77,72.4%,17.3,2.6,14.1%,2026-01-18 00:00:00
Litware Inc - Engineering,78,66.2%,17.7,3.3,14.2%,2026-01-25 00:00:00
Litware Inc - Engineering,78,65.9%,19.3,2.8,16.6%,2026-02-01 00:00:00
Litware Inc - Engineering,78,86.5%,20.9,3.0,15.9%,2026-02-08 00:00:00
Litware Inc - Engineering,79,60.1%,10.7,2.5,15.8%,2026-02-15 00:00:00
Litware Inc - Engineering,79,62.0%,12.7,2.6,10.8%,2026-02-22 00:00:00
Litware Inc - Engineering,80,55.0%,10.5,3.0,16.0%,2026-03-01 00:00:00
A. Datum Corporation,177,48.2%,8.4,2.2,,2025-03-30 00:00:00
A. Datum Corporation,178,54.6%,7.7,2.7,,2025-04-06 00:00:00
A. Datum Corporation,179,76.6%,10.5,2.4,,2025-04-13 00:00:00
A. Datum Corporation,180,64.9%,13.8,2.7,,2025-04-20 00:00:00
A. Datum Corporation,181,86.2%,13.2,2.6,,2025-04-27 00:00:00
A. Datum Corporation,182,60.1%,16.2,2.5,,2025-05-04 00:00:00
A. Datum Corporation,183,67.7%,16.9,3.3,,2025-05-11 00:00:00
A. Datum Corporation,184,80.5%,16.8,2.7,,2025-05-18 00:00:00
A. Datum Corporation,185,68.2%,13.3,3.2,,2025-05-25 00:00:00
A. Datum Corporation,186,80.9%,17.7,2.7,,2025-06-01 00:00:00
A. Datum Corporation,187,87.3%,15.7,2.7,,2025-06-08 00:00:00
A. Datum Corporation,188,82.8%,15.2,3.0,14.5%,2025-06-15 00:00:00
A. Datum Corporation,190,74.5%,15.6,2.7,14.6%,2025-06-22 00:00:00
A. Datum Corporation,191,76.2%,14.9,3.0,9.2%,2025-06-29 00:00:00
A. Datum Corporation,192,73.4%,13.7,2.8,17.0%,2025-07-06 00:00:00
A. Datum Corporation,193,60.4%,17.6,3.2,14.2%,2025-07-13 00:00:00
A. Datum Corporation,194,63.4%,13.3,2.3,11.2%,2025-07-20 00:00:00
A. Datum Corporation,195,58.3%,12.4,3.0,11.5%,2025-07-27 00:00:00
A. Datum Corporation,196,70.6%,17.5,3.0,13.3%,2025-08-03 00:00:00
A. Datum Corporation,197,63.1%,13.4,2.4,9.6%,2025-08-10 00:00:00
A. Datum Corporation,198,73.6%,17.6,2.6,9.7%,2025-08-17 00:00:00
A. Datum Corporation,199,71.6%,15.4,2.9,9.2%,2025-08-24 00:00:00
A. Datum Corporation,200,60.9%,12.7,2.9,15.1%,2025-08-31 00:00:00
A. Datum Corporation,201,74.6%,12.9,2.5,17.7%,2025-09-07 00:00:00
A. Datum Corporation,203,72.8%,14.8,3.1,12.7%,2025-09-14 00:00:00
A. Datum Corporation,204,63.0%,15.0,3.2,9.4%,2025-09-21 00:00:00
A. Datum Corporation,205,86.2%,12.1,2.2,11.0%,2025-09-28 00:00:00
A. Datum Corporation,206,85.4%,15.3,2.5,12.0%,2025-10-05 00:00:00
A. Datum Corporation,207,67.5%,17.3,2.9,17.9%,2025-10-12 00:00:00
A. Datum Corporation,208,59.2%,14.0,2.6,8.8%,2025-10-19 00:00:00
A. Datum Corporation,209,64.4%,16.6,2.5,13.0%,2025-10-26 00:00:00
A. Datum Corporation,210,79.6%,16.2,2.9,15.2%,2025-11-02 00:00:00
A. Datum Corporation,211,69.8%,13.5,2.2,16.9%,2025-11-09 00:00:00
A. Datum Corporation,212,77.7%,13.9,2.4,14.7%,2025-11-16 00:00:00
A. Datum Corporation,213,80.0%,13.5,2.4,8.9%,2025-11-23 00:00:00
A. Datum Corporation,214,56.8%,17.3,2.4,11.8%,2025-11-30 00:00:00
A. Datum Corporation,216,83.2%,14.3,2.8,17.3%,2025-12-07 00:00:00
A. Datum Corporation,217,64.7%,15.5,2.4,17.5%,2025-12-14 00:00:00
A. Datum Corporation,218,71.3%,17.3,3.1,11.5%,2025-12-21 00:00:00
A. Datum Corporation,219,78.3%,13.9,3.4,15.7%,2025-12-28 00:00:00
A. Datum Corporation,220,81.9%,14.2,3.1,12.8%,2026-01-04 00:00:00
A. Datum Corporation,221,63.1%,12.3,3.0,17.9%,2026-01-11 00:00:00
A. Datum Corporation,222,59.9%,14.3,2.6,16.2%,2026-01-18 00:00:00
A. Datum Corporation,223,73.0%,13.9,3.0,11.6%,2026-01-25 00:00:00
A. Datum Corporation,224,75.3%,19.2,2.3,8.3%,2026-02-01 00:00:00
A. Datum Corporation,225,76.9%,19.4,2.6,11.6%,2026-02-08 00:00:00
A. Datum Corporation,226,47.8%,13.9,3.0,17.2%,2026-02-15 00:00:00
A. Datum Corporation,227,60.4%,12.2,2.8,11.4%,2026-02-22 00:00:00
A. Datum Corporation,229,47.7%,11.4,3.1,15.5%,2026-03-01 00:00:00
Blue Yonder Airlines,63,51.5%,7.9,2.4,,2025-03-30 00:00:00
Blue Yonder Airlines,63,46.4%,8.1,3.0,,2025-04-06 00:00:00
Blue Yonder Airlines,63,82.0%,13.9,3.2,,2025-04-13 00:00:00
Blue Yonder Airlines,64,67.6%,12.7,2.7,,2025-04-20 00:00:00
Blue Yonder Airlines,64,72.6%,13.9,2.9,,2025-04-27 00:00:00
Blue Yonder Airlines,64,80.3%,13.8,2.3,,2025-05-04 00:00:00
Blue Yonder Airlines,65,66.7%,16.1,3.1,,2025-05-11 00:00:00
Blue Yonder Airlines,65,83.2%,17.1,2.8,,2025-05-18 00:00:00
Blue Yonder Airlines,65,81.1%,16.9,2.5,,2025-05-25 00:00:00
Blue Yonder Airlines,66,85.1%,12.4,3.2,,2025-06-01 00:00:00
Blue Yonder Airlines,66,64.1%,12.2,3.3,,2025-06-08 00:00:00
Blue Yonder Airlines,66,69.9%,16.7,2.5,17.1%,2025-06-15 00:00:00
Blue Yonder Airlines,67,62.4%,15.8,3.2,13.8%,2025-06-22 00:00:00
Blue Yonder Airlines,67,71.1%,12.9,2.6,12.9%,2025-06-29 00:00:00
Blue Yonder Airlines,67,64.1%,14.5,2.6,8.2%,2025-07-06 00:00:00
Blue Yonder Airlines,68,72.6%,13.0,2.5,13.7%,2025-07-13 00:00:00
Blue Yonder Airlines,68,70.9%,14.1,2.5,10.9%,2025-07-20 00:00:00
Blue Yonder Airlines,69,67.6%,12.8,2.4,13.3%,2025-07-27 00:00:00
Blue Yonder Airlines,69,72.0%,14.9,3.2,10.6%,2025-08-03 00:00:00
Blue Yonder Airlines,69,78.2%,17.9,3.4,8.3%,2025-08-10 00:00:00
Blue Yonder Airlines,70,63.9%,15.3,2.7,15.7%,2025-08-17 00:00:00
Blue Yonder Airlines,70,66.8%,15.1,3.1,15.0%,2025-08-24 00:00:00
Blue Yonder Airlines,70,69.9%,12.4,3.1,13.9%,2025-08-31 00:00:00
Blue Yonder Airlines,71,72.9%,16.6,2.6,15.1%,2025-09-07 00:00:00
Blue Yonder Airlines,71,68.1%,17.4,3.2,14.0%,2025-09-14 00:00:00
Blue Yonder Airlines,71,69.3%,15.0,2.7,14.1%,2025-09-21 00:00:00
Blue Yonder Airlines,72,73.5%,13.1,3.0,12.2%,2025-09-28 00:00:00
Blue Yonder Airlines,72,58.4%,15.8,3.0,11.6%,2025-10-05 00:00:00
Blue Yonder Airlines,72,77.0%,15.0,3.0,13.5%,2025-10-12 00:00:00
Blue Yonder Airlines,73,84.4%,14.3,3.2,12.2%,2025-10-19 00:00:00
Blue Yonder Airlines,73,70.7%,16.3,2.6,11.9%,2025-10-26 00:00:00
Blue Yonder Airlines,73,70.0%,15.9,3.4,9.1%,2025-11-02 00:00:00
Blue Yonder Airlines,74,78.0%,12.6,2.3,9.7%,2025-11-09 00:00:00
Blue Yonder Airlines,74,68.3%,14.1,2.4,11.3%,2025-11-16 00:00:00
Blue Yonder Airlines,75,82.5%,14.5,2.5,8.6%,2025-11-23 00:00:00
Blue Yonder Airlines,75,63.9%,13.7,2.8,12.1%,2025-11-30 00:00:00
Blue Yonder Airlines,75,75.9%,15.2,2.7,10.9%,2025-12-07 00:00:00
Blue Yonder Airlines,76,80.9%,16.2,2.9,10.4%,2025-12-14 00:00:00
Blue Yonder Airlines,76,79.0%,14.8,3.2,17.2%,2025-12-21 00:00:00
Blue Yonder Airlines,76,63.6%,17.5,2.9,17.7%,2025-12-28 00:00:00
Blue Yonder Airlines,77,80.7%,16.4,2.4,9.9%,2026-01-04 00:00:00
Blue Yonder Airlines,77,79.3%,13.9,3.0,14.5%,2026-01-11 00:00:00
Blue Yonder Airlines,77,82.7%,14.9,2.5,14.2%,2026-01-18 00:00:00
Blue Yonder Airlines,78,66.5%,15.8,2.8,8.4%,2026-01-25 00:00:00
Blue Yonder Airlines,78,59.2%,18.8,3.2,14.9%,2026-02-01 00:00:00
Blue Yonder Airlines,78,79.9%,17.1,3.3,9.8%,2026-02-08 00:00:00
Blue Yonder Airlines,79,63.8%,10.7,3.1,10.2%,2026-02-15 00:00:00
Blue Yonder Airlines,79,56.2%,10.7,2.9,14.0%,2026-02-22 00:00:00
Blue Yonder Airlines,80,57.8%,11.0,3.4,17.4%,2026-03-01 00:00:00
City Power & Light,298,55.1%,7.2,2.8,,2025-03-30 00:00:00
City Power & Light,299,46.7%,8.1,2.4,,2025-04-06 00:00:00
City Power & Light,300,80.5%,13.9,2.4,,2025-04-13 00:00:00
City Power & Light,301,70.3%,11.5,3.2,,2025-04-20 00:00:00
City Power & Light,302,72.4%,17.3,2.2,,2025-04-27 00:00:00
City Power & Light,303,82.1%,13.8,2.3,,2025-05-04 00:00:00
City Power & Light,304,70.2%,13.4,2.5,,2025-05-11 00:00:00
City Power & Light,305,75.0%,12.8,3.3,,2025-05-18 00:00:00
City Power & Light,307,71.4%,17.4,3.1,,2025-05-25 00:00:00
City Power & Light,308,76.9%,12.6,2.5,,2025-06-01 00:00:00
City Power & Light,309,73.1%,16.3,2.5,,2025-06-08 00:00:00
City Power & Light,310,74.8%,12.4,3.0,15.7%,2025-06-15 00:00:00
City Power & Light,311,81.3%,16.9,2.4,15.3%,2025-06-22 00:00:00
City Power & Light,312,78.4%,16.8,3.4,16.8%,2025-06-29 00:00:00
City Power & Light,313,76.5%,16.2,3.1,15.5%,2025-07-06 00:00:00
City Power & Light,314,78.2%,17.2,3.2,16.1%,2025-07-13 00:00:00
City Power & Light,316,79.2%,14.0,2.6,15.3%,2025-07-20 00:00:00
City Power & Light,317,84.8%,14.7,2.7,9.3%,2025-07-27 00:00:00
City Power & Light,318,70.3%,16.1,2.7,13.7%,2025-08-03 00:00:00
City Power & Light,319,74.1%,14.9,3.2,15.8%,2025-08-10 00:00:00
City Power & Light,320,81.0%,12.1,2.5,17.5%,2025-08-17 00:00:00
City Power & Light,321,65.5%,16.7,2.9,11.3%,2025-08-24 00:00:00
City Power & Light,322,61.6%,13.1,2.4,12.2%,2025-08-31 00:00:00
City Power & Light,323,81.8%,16.7,3.1,11.7%,2025-09-07 00:00:00
City Power & Light,325,62.4%,13.7,2.8,10.6%,2025-09-14 00:00:00
City Power & Light,326,63.2%,15.9,3.0,14.7%,2025-09-21 00:00:00
City Power & Light,327,77.3%,13.5,2.7,14.8%,2025-09-28 00:00:00
City Power & Light,328,71.4%,18.0,3.2,10.6%,2025-10-05 00:00:00
City Power & Light,329,78.7%,15.5,2.8,14.5%,2025-10-12 00:00:00
City Power & Light,330,79.2%,17.1,2.6,15.2%,2025-10-19 00:00:00
City Power & Light,331,60.1%,14.7,2.9,9.5%,2025-10-26 00:00:00
City Power & Light,332,71.1%,14.0,2.8,15.0%,2025-11-02 00:00:00
City Power & Light,334,77.1%,12.6,3.2,9.8%,2025-11-09 00:00:00
City Power & Light,335,71.8%,13.7,2.3,17.8%,2025-11-16 00:00:00
City Power & Light,336,69.6%,16.7,2.2,8.6%,2025-11-23 00:00:00
City Power & Light,337,85.3%,14.3,2.3,8.9%,2025-11-30 00:00:00
City Power & Light,338,78.6%,17.0,2.6,8.4%,2025-12-07 00:00:00
City Power & Light,339,71.4%,16.7,2.2,15.3%,2025-12-14 00:00:00
City Power & Light,340,85.6%,14.6,2.3,16.6%,2025-12-21 00:00:00
City Power & Light,341,87.4%,17.3,2.9,12.2%,2025-12-28 00:00:00
City Power & Light,343,67.3%,15.2,3.0,10.4%,2026-01-04 00:00:00
City Power & Light,344,73.8%,13.2,3.1,17.0%,2026-01-11 00:00:00
City Power & Light,345,69.1%,16.1,3.1,11.3%,2026-01-18 00:00:00
City Power & Light,346,69.0%,17.5,2.9,11.7%,2026-01-25 00:00:00
City Power & Light,347,78.9%,16.6,3.3,8.3%,2026-02-01 00:00:00
City Power & Light,348,86.5%,21.2,3.2,9.9%,2026-02-08 00:00:00
City Power & Light,349,45.8%,12.4,2.7,10.6%,2026-02-15 00:00:00
City Power & Light,350,47.9%,11.9,2.8,11.7%,2026-02-22 00:00:00
City Power & Light,352,50.3%,10.5,3.3,8.8%,2026-03-01 00:00:00
Coho Winery,291,59.5%,7.3,3.4,,2025-03-30 00:00:00
Coho Winery,292,52.3%,8.1,2.3,,2025-04-06 00:00:00
Coho Winery,293,80.1%,13.5,3.3,,2025-04-13 00:00:00
Coho Winery,295,69.0%,10.4,3.3,,2025-04-20 00:00:00
Coho Winery,296,70.4%,12.4,2.4,,2025-04-27 00:00:00
Coho Winery,297,66.9%,13.5,2.4,,2025-05-04 00:00:00
Coho Winery,299,76.0%,15.2,3.0,,2025-05-11 00:00:00
Coho Winery,300,75.9%,14.7,2.9,,2025-05-18 00:00:00
Coho Winery,301,65.1%,12.5,3.3,,2025-05-25 00:00:00
Coho Winery,303,68.6%,13.1,3.0,,2025-06-01 00:00:00
Coho Winery,304,73.2%,12.8,2.9,,2025-06-08 00:00:00
Coho Winery,305,87.4%,13.2,3.0,13.4%,2025-06-15 00:00:00
Coho Winery,307,67.5%,17.3,2.3,14.5%,2025-06-22 00:00:00
Coho Winery,308,87.8%,16.4,2.4,10.6%,2025-06-29 00:00:00
Coho Winery,309,71.6%,15.3,2.2,15.3%,2025-07-06 00:00:00
Coho Winery,311,65.1%,17.2,2.3,11.4%,2025-07-13 00:00:00
Coho Winery,312,58.2%,12.5,2.7,8.2%,2025-07-20 00:00:00
Coho Winery,314,59.6%,15.3,3.3,8.8%,2025-07-27 00:00:00
Coho Winery,315,75.2%,14.1,2.9,12.9%,2025-08-03 00:00:00
Coho Winery,316,68.9%,15.0,3.0,13.9%,2025-08-10 00:00:00
Coho Winery,318,70.2%,15.7,3.2,15.3%,2025-08-17 00:00:00
Coho Winery,319,77.3%,15.9,2.3,16.8%,2025-08-24 00:00:00
Coho Winery,320,59.1%,14.8,3.4,10.6%,2025-08-31 00:00:00
Coho Winery,322,68.8%,12.6,2.7,11.2%,2025-09-07 00:00:00
Coho Winery,323,73.1%,17.7,2.3,18.0%,2025-09-14 00:00:00
Coho Winery,324,59.8%,17.1,2.5,15.4%,2025-09-21 00:00:00
Coho Winery,326,81.3%,14.1,2.5,16.0%,2025-09-28 00:00:00
Coho Winery,327,76.8%,12.8,2.5,16.6%,2025-10-05 00:00:00
Coho Winery,328,67.3%,16.2,3.0,14.7%,2025-10-12 00:00:00
Coho Winery,330,62.1%,17.4,3.3,13.4%,2025-10-19 00:00:00
Coho Winery,331,82.1%,13.9,2.5,14.0%,2025-10-26 00:00:00
Coho Winery,332,71.8%,12.5,2.6,9.0%,2025-11-02 00:00:00
Coho Winery,334,78.9%,13.2,2.8,17.1%,2025-11-09 00:00:00
Coho Winery,335,78.1%,15.5,2.8,14.6%,2025-11-16 00:00:00
Coho Winery,337,81.2%,16.1,2.5,16.7%,2025-11-23 00:00:00
Coho Winery,338,65.4%,12.2,3.2,11.9%,2025-11-30 00:00:00
Coho Winery,339,65.5%,16.6,3.3,10.3%,2025-12-07 00:00:00
Coho Winery,341,82.2%,16.1,3.1,11.9%,2025-12-14 00:00:00
Coho Winery,342,74.5%,17.3,3.4,17.1%,2025-12-21 00:00:00
Coho Winery,343,65.6%,12.1,2.5,13.1%,2025-12-28 00:00:00
Coho Winery,345,86.9%,12.1,3.3,12.2%,2026-01-04 00:00:00
Coho Winery,346,67.7%,15.7,2.4,15.3%,2026-01-11 00:00:00
Coho Winery,347,64.4%,15.9,2.9,12.6%,2026-01-18 00:00:00
Coho Winery,349,74.2%,13.2,2.8,15.6%,2026-01-25 00:00:00
Coho Winery,350,62.1%,20.1,2.6,13.3%,2026-02-01 00:00:00
Coho Winery,351,64.2%,20.0,2.8,12.8%,2026-02-08 00:00:00
Coho Winery,353,58.7%,12.5,2.4,9.8%,2026-02-15 00:00:00
Coho Winery,354,47.7%,13.9,2.5,11.7%,2026-02-22 00:00:00
Coho Winery,356,48.8%,13.2,3.1,9.7%,2026-03-01 00:00:00
Consolidated Messenger,152,57.6%,7.4,3.2,,2025-03-30 00:00:00
Consolidated Messenger,152,54.2%,7.3,3.0,,2025-04-06 00:00:00
Consolidated Messenger,153,73.3%,13.2,2.7,,2025-04-13 00:00:00
Consolidated Messenger,154,78.4%,11.5,2.2,,2025-04-20 00:00:00
Consolidated Messenger,155,71.0%,17.5,2.9,,2025-04-27 00:00:00
Consolidated Messenger,156,72.9%,14.9,2.3,,2025-05-04 00:00:00
Consolidated Messenger,156,67.6%,13.2,2.8,,2025-05-11 00:00:00
Consolidated Messenger,157,82.7%,16.3,2.8,,2025-05-18 00:00:00
Consolidated Messenger,158,60.2%,13.0,3.3,,2025-05-25 00:00:00
Consolidated Messenger,159,60.9%,13.1,2.8,,2025-06-01 00:00:00
Consolidated Messenger,160,81.6%,14.6,2.6,,2025-06-08 00:00:00
Consolidated Messenger,160,74.2%,17.3,2.9,15.5%,2025-06-15 00:00:00
Consolidated Messenger,161,70.8%,13.6,3.3,17.2%,2025-06-22 00:00:00
Consolidated Messenger,162,77.2%,14.2,3.2,10.1%,2025-06-29 00:00:00
Consolidated Messenger,163,67.5%,16.8,3.0,17.2%,2025-07-06 00:00:00
Consolidated Messenger,164,86.6%,17.8,2.3,9.2%,2025-07-13 00:00:00
Consolidated Messenger,165,61.1%,12.0,2.4,9.1%,2025-07-20 00:00:00
Consolidated Messenger,165,65.1%,13.2,2.8,14.9%,2025-07-27 00:00:00
Consolidated Messenger,166,68.5%,13.9,2.5,15.8%,2025-08-03 00:00:00
Consolidated Messenger,167,61.3%,16.0,2.8,10.9%,2025-08-10 00:00:00
Consolidated Messenger,168,67.1%,14.5,2.7,11.7%,2025-08-17 00:00:00
Consolidated Messenger,169,68.3%,14.2,2.9,9.7%,2025-08-24 00:00:00
Consolidated Messenger,169,68.5%,17.1,2.4,11.5%,2025-08-31 00:00:00
Consolidated Messenger,170,65.4%,14.4,2.9,10.5%,2025-09-07 00:00:00
Consolidated Messenger,171,75.8%,14.3,3.1,11.9%,2025-09-14 00:00:00
Consolidated Messenger,172,70.8%,14.2,2.6,9.9%,2025-09-21 00:00:00
Consolidated Messenger,173,70.0%,12.3,2.7,13.5%,2025-09-28 00:00:00
Consolidated Messenger,173,81.5%,17.0,2.3,14.0%,2025-10-05 00:00:00
Consolidated Messenger,174,76.7%,13.6,3.2,13.1%,2025-10-12 00:00:00
Consolidated Messenger,175,59.8%,17.4,3.1,12.7%,2025-10-19 00:00:00
Consolidated Messenger,176,63.5%,14.7,2.7,13.5%,2025-10-26 00:00:00
Consolidated Messenger,177,60.0%,13.0,2.7,17.8%,2025-11-02 00:00:00
Consolidated Messenger,178,70.3%,16.0,3.0,13.0%,2025-11-09 00:00:00
Consolidated Messenger,178,69.2%,17.8,2.7,17.9%,2025-11-16 00:00:00
Consolidated Messenger,179,67.1%,17.2,3.3,10.2%,2025-11-23 00:00:00
Consolidated Messenger,180,70.6%,13.2,3.0,11.0%,2025-11-30 00:00:00
Consolidated Messenger,181,68.7%,15.2,2.8,16.7%,2025-12-07 00:00:00
Consolidated Messenger,182,80.0%,17.8,3.0,15.2%,2025-12-14 00:00:00
Consolidated Messenger,182,69.4%,12.1,2.4,13.0%,2025-12-21 00:00:00
Consolidated Messenger,183,66.3%,15.4,2.7,15.1%,2025-12-28 00:00:00
